"week_num","Hours_Above_80","Hours_Above_75","Hours_Below_50","Avg_HourlyRelativeHumidity","Avg_HourlyWetBulbTemperature","Avg_HourlyWindSpeed","Lagged_week_num"
"2012-34",39,62,0,81.8280701754386,61.3298245614035,1.32042253521127,"2012-33"
"2012-35",23,94,16,76.639846743295,60.6360153256705,3.67432950191571,"2012-34"
"2012-36",14,113,1,87.3450134770889,65.5876010781671,3.90835579514824,"2012-35"
"2012-37",1,18,107,83.2192192192192,51.966966966967,1.93655589123867,"2012-36"
"2012-38",0,4,104,83.0357142857143,53.9090909090909,3.9640522875817,"2012-37"
"2012-39",0,1,89,85.3134796238244,51.7805642633229,3.58620689655173,"2012-38"
"2012-40",0,8,21,86.1642335766423,57.463503649635,3.33576642335766,"2012-39"
"2012-41",0,0,85,78.8510638297873,48.0468085106383,4.02991452991453,"2012-40"
"2012-42",0,0,121,82.753164556962,50.8386075949367,4.43492063492063,"2012-41"
"2012-43",0,0,155,82.0830564784053,45.2624584717608,2.71333333333333,"2012-42"
"2012-44",0,0,68,80.2851711026616,50.0608365019012,7.77186311787073,"2012-43"
"2012-45",0,0,177,73.619512195122,35.7512195121951,8.15686274509804,"2012-44"
"2012-46",0,0,188,77.9877049180328,39.4139344262295,4.68032786885245,"2012-45"
"2012-47",0,0,303,81.4316109422492,35.0759878419453,3.18844984802431,"2012-46"
"2012-48",0,0,239,77.03125,32.95703125,3.33984375,"2012-47"
"2012-49",0,0,230,82.7312925170068,39.969387755102,3.16666666666667,"2012-48"
"2012-50",0,0,157,77.2264957264957,39.7905982905983,4.78111587982833,"2012-49"
"2012-51",0,0,249,77.7157534246575,40.8664383561644,7.83737024221452,"2012-50"
"2012-52",0,0,301,80.6761006289308,32.3616352201258,6.20560747663551,"2012-51"
"2013-01",0,0,209,60.066985645933,24.5837320574163,5.82692307692308,"2012-52"
"2013-02",0,0,214,79.2307692307692,36.508547008547,3.52564102564103,"2013-01"
"2013-03",0,0,191,69.6483050847458,35.7203389830508,6.07627118644067,"2013-02"
"2013-04",0,0,200,51.16,16.21,6.625,"2013-03"
"2013-05",0,0,210,71.9850746268657,33.4626865671642,7.72388059701492,"2013-04"
"2013-06",0,0,230,70.8782608695652,22.6695652173913,6.9608695652174,"2013-05"
"2013-07",0,0,298,76.1208053691275,31.0436241610738,6.36241610738255,"2013-06"
"2013-08",0,0,243,67.3539094650206,31.4526748971193,7.71836734693877,"2013-07"
"2013-09",0,0,256,74.13671875,36.27734375,5.42578125,"2013-08"
"2013-10",0,0,295,76.1084745762712,32.593220338983,9.85034013605443,"2013-09"
"2013-11",0,0,159,62.378640776699,36.0922330097088,7.62621359223301,"2013-10"
"2013-12",0,0,261,67.4318181818181,30.6742424242424,7.14068441064639,"2013-11"
"2013-13",0,0,178,62.5272727272727,35.4909090909091,5.43181818181818,"2013-12"
"2013-14",0,0,166,50.7969543147208,35.6345177664975,9.51794871794872,"2013-13"
"2013-15",0,4,176,71.507874015748,43.3464566929134,6.5,"2013-14"
"2013-16",0,0,102,70.1254752851711,45.5817490494297,6.81679389312976,"2013-15"
"2013-17",0,0,189,73.0391459074733,41.44128113879,5.21505376344087,"2013-16"
"2013-18",0,1,189,73.1407942238267,40.4079422382672,2.51636363636364,"2013-17"
"2013-19",1,10,42,81.1524390243902,56.3353658536585,4.67682926829268,"2013-18"
"2013-20",2,7,99,69.1724137931034,46.7715517241379,4.46753246753247,"2013-19"
"2013-21",10,15,27,85.9538043478261,57.375,6.38524590163935,"2013-20"
"2013-22",36,53,34,73.9254385964912,59.8738738738739,5.80701754385965,"2013-21"
